縣市別,清理範圍(處),清理次數(次),參與人數(人次),海洋廢棄物來源(噸)_海漂,海洋廢棄物來源(噸)_海底,海洋廢棄物來源(噸)_淨灘,海洋廢棄物來源(噸)_岸上回收設施,海洋廢棄物來源(噸)_船舶產出,清理方式_雇工   (人次),清理方式_機械    (輛次),清理數量分類(噸)_計,清理數量分類(噸)_寶特瓶,清理數量分類(噸)_鐵罐,清理數量分類(噸)_鋁罐,清理數量分類(噸)_玻璃瓶,清理數量分類(噸)_廢紙,清理數量分類(噸)_竹木,清理數量分類(噸)_保麗龍,清理數量分類(噸)_廢漁具漁網,清理數量分類(噸)_其他,清理後處理方式(噸)_焚化,清理後處理方式(噸)_回收再利用,清理後處理方式(噸)_其他
總　　　　計,235,973,"21,242",245.265,0.176,"1,376.33",26.144,345.172,"3,957","1,018","1,993.09",20.755,4.928,3.614,13.795,2.262,"1,314.20",38.482,28.316,566.739,"1,706.53",70.682,215.881
新北市,28,140,"9,474",158.312,0,8,0,17.987,"1,729",33,184.299,2.028,0.88,0.318,0.599,0.292,41.43,1.013,6.27,131.469,162.357,16.042,5.9
臺北市,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
桃園市,3,3,732,0,0,3.106,0,0,0,0,3.105,0.092,0.059,0.05,0.213,0,0,0.072,0.3,2.319,3.014,0.092,0
宜蘭縣,12,23,458,0.02,0.053,13,0,1.426,12,28,14.499,0.232,0.174,0.144,0.111,0.39,6.8,0.2,0.534,5.914,0.962,1.737,11.8
新竹縣,9,9,365,0,0.004,3.11,0,0,0,0,3.114,0.05,0.035,0.02,0.235,0,0,0.105,0.443,2.226,2.774,0.341,0
基隆市,4,40,757,0.08,0,1.085,0,91.169,310,62,92.334,0.228,0.123,0.072,0.022,0.25,0.1,0.215,0.64,90.684,79.116,12.618,0.6
新竹市,3,7,12,0.669,0.02,0,0,0,12,1,0.689,0.01,0.001,0.018,0.001,0,0,0,0.577,0.082,0,0.03,0.659
臺中市,15,46,"1,593",0.61,0,5.6,0,42.14,310,156,48.35,0.52,0.05,0.06,0.11,0.02,3,0,1.4,43.19,39.94,8.41,0
苗栗縣,5,4,"1,632",0,0,29.695,0,0,0,0,29.695,0.286,0.051,0.028,0.14,0.021,0.444,0.037,0.518,28.17,28.17,0.526,0.999
彰化縣,3,3,18,0.056,0,0,0,0,18,0,0.055,0.01,0.001,0,0.012,0.007,0,0.007,0.001,0.017,0.007,0.048,0.001
南投縣,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
雲林縣,1,23,60,4.95,0,0,0,0,60,2,4.95,0,0,0,0,0,4.43,0,0,0.52,4.95,0,0
臺南市,18,182,883,0.206,0,"1,190.21",24.814,0.25,463,505,"1,215.48",0.351,0.137,0.111,0.464,0.073,"1,189.01",15.974,0.177,9.182,"1,197.86",17.613,0
高雄市,28,70,655,0.22,0,0.312,0,191.37,590,92,191.903,0.736,0.461,0.21,0.119,1,0,0.003,0.022,189.351,186.579,5.323,0
嘉義縣,1,2,125,0,0,1.27,0,0,0,2,1.27,0.45,0.155,0.145,0.12,0,0,0.12,0.085,0.195,0.4,0.87,0
屏東縣,2,2,124,0,0.003,0.093,0,0,6,0,0.096,0.005,0.005,0.004,0.008,0,0,0.003,0.042,0.029,0.096,0,0
澎湖縣,48,48,"2,849",79.4,0,19.627,0,0.83,43,1,99.857,11.611,2.58,2.28,11.001,0.15,11.47,3.695,8.31,48.76,0,0.787,99.07
嘉義市,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
臺東縣,3,6,298,0,0.096,0.144,0,0,60,4,0.24,0.029,0.01,0.01,0.034,0.003,0,0.005,0.021,0.128,0,0.086,0.154
花蓮縣,6,331,482,0.742,0,0,1.33,0,58,7,2.072,0,0,0,0,0,0,0,0,2.072,0.3,1.03,0.742
金門縣,30,22,286,0,0,28.085,0,0,286,88,28.085,0.377,0.026,0.014,0.116,0.006,26.71,0.383,0.018,0.435,0,0.539,27.546
連江縣,16,12,439,0,0,73,0,0,0,37,73,3.74,0.18,0.13,0.49,0.05,30.806,16.65,8.958,11.996,0,4.59,68.41
