縣市別,清理範圍(處),清理次數(次),參與人數(人次),海洋廢棄物來源(噸)_海漂,海洋廢棄物來源(噸)_海底,海洋廢棄物來源(噸)_淨灘,海洋廢棄物來源(噸)_岸上回收設施,海洋廢棄物來源(噸)_船舶產出,清理方式_雇工(人次),清理方式_機械 (輛次),清理方式_環保艦隊(艘次),清理數量分類(噸)_計,清理數量分類(噸)_寶特瓶,清理數量分類(噸)_鐵罐,清理數量分類(噸)_鋁罐,清理數量分類(噸)_玻璃瓶,清理數量分類(噸)_廢紙,清理數量分類(噸)_竹木,清理數量分類(噸)_保麗龍,清理數量分類(噸)_廢漁具漁網,清理數量分類(噸)_其他,清理後處理方式(噸)_焚化,清理後處理方式(噸)_回收再利用,清理後處理方式(噸)_其他
總　　　　計,221,971,"11,401",237.741,0.223,184.175,165.247,163.347,"3,899",632,0,762.895,17.132,4.497,3.672,12.568,2.457,150.587,23.551,41.62,506.811,478.745,59.425,224.725
新北市,10,48,"1,326",151.146,0,2,0,16.755,892,38,0,169.901,4.658,0.765,0.42,0.866,0.232,41.9,4.103,6.14,110.817,143.101,17.8,9
臺北市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
桃園市,2,2,501,0,0,6.089,0,0,0,0,0,6.089,0.283,0.504,0.176,0.266,0,0,0.134,0.532,4.194,5.806,0.283,0
宜蘭縣,13,229,421,0.03,0.223,57.93,0,1.387,64,143,0,59.57,0.287,0.179,0.185,0.115,0.38,49.55,0.203,0.786,7.885,30.361,2.359,26.85
新竹縣,11,11,103,1.8,0,1.5,0,0,0,0,0,3.3,0.057,0.054,0.029,0.195,0,0,0.625,0.265,2.075,2.965,0.335,0
基隆市,2,35,362,0.1,0,0.05,0,75.08,310,62,0,75.23,0.05,0.1,0.07,0.02,0.24,0.08,0.01,0.02,74.64,69.088,6.142,0
新竹市,7,7,7,0.713,0,0,0,0,12,3,0,0.713,0.001,0,0,0,0.001,0.011,0.001,0.623,0.076,0.076,0.014,0.623
臺中市,15,45,"1,587",0.61,0,5.6,0,37.905,304,151,0,44.115,0.52,0.03,0.04,0.11,0.03,3,0,1.4,38.985,36.31,7.805,0
苗栗縣,8,4,725,0,0,12.045,0,0,0,0,0,12.045,0.192,0.007,0.006,0.055,0.023,0.643,0.07,0.208,10.841,10.841,0.283,0.921
彰化縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南投縣,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
雲林縣,1,21,50,0.63,0,0,0,0,50,0,0,0.63,0,0,0,0,0,0,0,0,0.63,0.63,0,0
臺南市,9,97,295,0.471,0,0.25,19.182,0.54,271,3,4,11.139,0.126,0.106,0.098,0.516,0.079,0.073,0.054,0.068,10.019,9.991,1.148,0
高雄市,28,125,399,0.25,0,0.29,134.265,30.91,318,88,34,165.716,0.732,0.461,0.211,0.094,0.95,0,0.035,0.067,163.166,151.207,14.405,0.104
嘉義縣,2,2,80,0,0,0.31,0,0,0,2,0,0.31,0.068,0.002,0.005,0,0,0,0.105,0.005,0.125,0.235,0.075,0
屏東縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
澎湖縣,41,142,"1,195",81.3,0,0.134,0,0.77,"1,175",1,0,102.529,7.057,1.27,1.67,8.397,0.15,4.6,2.48,26.11,50.795,6.715,4.647,91.167
嘉義市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
臺東縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
花蓮縣,6,60,397,0.691,0,0,11.8,0,36,6,0,12.491,0,0,0,0,0,0,0,0,12.491,11.419,1.072,0
金門縣,62,123,"2,931",0,0,49.237,0,0,467,111,0,50.377,1.251,0.749,0.582,1.714,0.272,28.41,4.171,1.286,11.942,0,0.437,49.94
連江縣,4,20,"1,022",0,0,48.74,0,0,0,24,0,48.74,1.85,0.27,0.18,0.22,0.1,22.32,11.56,4.11,8.13,0,2.62,46.12
