縣市別,清理範圍(處),清理次數(次),參與人數(人次),海洋廢棄物來源(噸)_海漂,海洋廢棄物來源(噸)_海底,海洋廢棄物來源(噸)_淨灘,清理方式_雇工   (人次),清理方式_機械    (輛次),清理數量分類(噸)_計,清理數量分類(噸)_寶特瓶,清理數量分類(噸)_鐵罐,清理數量分類(噸)_鋁罐,清理數量分類(噸)_玻璃瓶,清理數量分類(噸)_廢紙,清理數量分類(噸)_竹木,清理數量分類(噸)_保麗龍,清理數量分類(噸)_廢漁具漁網,清理數量分類(噸)_其他,清理後處理方式(噸)_焚化,清理後處理方式(噸)_回收再利用,清理後處理方式(噸)_其他
總　　　　計,266,928,"22,693",143.128,1.114,"1,137.71","5,949",468,"1,690.78",34.419,11.058,8.818,125.044,28.06,78.54,19.176,181.089,"1,204.58","1,298.65",229.038,163.093
新北市,29,165,"8,231",90.766,0.18,22.009,"1,154",30,142.896,7.747,1.555,0.745,1.955,0.136,2.575,1.952,8.149,118.082,121.082,13.781,8.032
臺北市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
桃園市,1,1,"1,124",0,0.02,4.7,0,0,4.72,0.2,0.005,0.005,0.05,0,0,0,1,3.46,4.52,0.2,0
宜蘭縣,11,25,186,0.02,0.053,4,18,4,7.143,1.052,0.304,0.254,0.211,0.7,1,0.3,0.434,2.888,4.082,2.661,0.4
新竹縣,9,9,"1,056",0,0,5.223,0,0,5.223,0.088,0.042,0.017,0.447,0.016,0,0.158,0.307,4.149,4.614,0.609,0
基隆市,5,37,678,0.01,0,1.337,300,61,111.607,0.117,0.108,0.063,0.114,0.3,0,0.032,0.401,110.472,108.432,2.774,0.401
新竹市,2,30,450,0,0,950,450,0,950,15,5,5,115,23,0,0,156,631,787,163,0
臺中市,5,37,"1,325",0.01,0,5.35,300,151,49.97,0.501,0.12,0.2,0.086,0.01,2.739,0,1.081,45.233,42.233,7.736,0
苗栗縣,4,5,"1,635",0,0,15.851,0,0,15.851,0.423,0.011,0.005,0.491,0.045,0.931,0.497,1.118,12.33,12.33,0.975,2.546
彰化縣,4,4,444,0.131,0,0.846,18,0,0.976,0.012,0.005,0,0.093,0.007,0,0.047,0.522,0.29,0.047,0.117,0.812
南投縣,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
雲林縣,5,23,217,0.61,0,2.564,41,8,3.174,0.35,0.7,0.109,0.05,0.025,1.197,0,0,0.743,3.015,0.159,0
臺南市,13,102,953,0.239,0.034,3.39,168,4,12.663,0.357,0.309,0.134,0.455,0.061,1.263,0,0.008,10.076,10.522,1.641,0.5
高雄市,27,68,860,0.21,0.544,0.502,770,92,206.396,0.87,0.51,0.231,0.088,1,0,0.05,0.433,203.213,186.907,19.499,0
嘉義縣,1,1,471,0,0.092,8.532,4,1,8.625,0.027,0.01,0.007,0.154,0.049,7.018,0,0.771,0.589,8.378,0.246,0
屏東縣,6,6,356,0,0.013,0.789,48,0,0.803,0.041,0.01,0.01,0.082,0.007,0,0.001,0.189,0.462,0.803,0,0
澎湖縣,60,239,"1,840",46.26,0,3.604,"1,738",1,51.364,4.089,1.504,1.31,0.513,0.6,3.304,1.965,3.138,34.941,0.379,9.466,41.519
嘉義市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
臺東縣,5,6,763,0,0.156,0.724,36,3,0.88,0.033,0.025,0.021,0.093,0.018,0.003,0.059,0.035,0.593,0,0.039,0.841
花蓮縣,11,31,699,3.572,0.01,0.576,464,4,9.468,0.004,0.002,0.001,0.004,0.001,0,0,0.2,9.256,4.31,1.288,3.87
金門縣,53,122,"1,177",1.3,0.012,44.788,440,76,46.1,1.088,0.628,0.636,1.007,0.096,30.02,1.755,1.103,9.767,0,0.677,45.423
連江縣,15,17,228,0,0,62.92,0,33,62.92,2.42,0.21,0.07,4.15,1.99,28.49,12.36,6.2,7.03,0,4.17,58.75
