縣市別,清理範圍(處),清理次數(次),參與人數(人次),海洋廢棄物來源(噸)_海漂,海洋廢棄物來源(噸)_海底,海洋廢棄物來源(噸)_淨灘,清理方式_雇工(人次),清理方式_機械(輛次),清理數量分類(噸)_計,清理數量分類(噸)_寶特瓶,清理數量分類(噸)_鐵罐,清理數量分類(噸)_鋁罐,清理數量分類(噸)_玻璃瓶,清理數量分類(噸)_廢紙,清理數量分類(噸)_竹木,清理數量分類(噸)_保麗龍,清理數量分類(噸)_廢漁具漁網,清理數量分類(噸)_其他,清理後處理方式(噸)_焚化,清理後處理方式(噸)_回收再利用,清理後處理方式(噸)_其他
總　　　　計,245,980,"10,638",203.411,1.071,153.81,"4,683",528,675.637,15.083,7.038,3.922,11.183,2.61,102.356,21.944,25.907,485.595,447.277,60.272,168.088
新北市,12,41,"2,061",131.733,0.559,2,"1,699",34,152.139,0.568,0.28,0.18,0.39,0.146,35.412,3.135,6.304,105.725,138.062,14.077,0
臺北市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
桃園市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宜蘭縣,12,26,252,0.02,0.053,6.7,18,28,8.048,0.142,0.184,0.144,0.211,0.39,4,0.2,0.534,2.243,5.722,1.126,1.2
新竹縣,3,3,47,0,0,0.885,0,0,0.885,0.011,0.008,0.004,0.079,0,0,0.066,0.068,0.649,0.783,0.102,0
基隆市,3,38,936,0.08,0,0.808,300,62,68.528,0.075,0.165,0.093,0.042,0.303,0.13,0.037,0.172,67.511,59.653,8.875,0
新竹市,1,5,5,0.166,0,0,4,1,0.166,0.001,0.005,0.001,0.01,0,0.005,0,0.1,0.044,0.1,0.066,0
臺中市,14,44,"1,568",0.61,0,5.6,300,151,48.22,0.525,0.078,0.06,0.11,0.011,2.95,0.002,1.36,43.124,40.27,7.95,0
苗栗縣,8,4,"1,324",0,0,26.494,0,0,26.494,0.173,0.097,0.154,0.529,0.022,2.077,0.073,0.669,22.7,22.7,0.975,2.819
彰化縣,3,3,18,0.128,0,0,15,0,0.128,0.03,0.011,0,0.025,0.008,0,0.003,0.04,0.011,0.003,0.085,0.04
南投縣,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
雲林縣,1,22,56,0.56,0,0,56,6,0.56,0,0,0,0,0,0,0,0,0.56,0.56,0,0
臺南市,12,119,353,0.025,0.388,0.2,333,23,26.429,0.101,0.133,0.138,0.438,0.057,0.082,0,0.094,25.386,25.462,0.967,0
高雄市,33,85,474,0.33,0.071,0.191,351,92,157.569,0.697,0.461,0.242,0.128,1.036,0,0.015,0.259,154.731,142.856,14.713,0
嘉義縣,2,4,518,0,0,1.92,0,4,1.92,0.59,0.1,0.04,0.05,0,0.04,0.58,0.11,0.41,1.14,0.78,0
屏東縣,1,1,44,0,0,0.174,0,0,0.174,0,0,0,0,0,0,0,0,0.174,0,0,0.174
澎湖縣,62,162,"1,211",68.94,0,5.388,"1,102",1,75.218,8.657,3.84,2.43,6.725,0.25,3.47,9.67,5.3,34.876,5.981,3.807,65.43
嘉義市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
臺東縣,2,6,27,0,0,0.027,0,0,0.027,0,0,0,0,0,0,0,0,0.027,0,0.007,0.02
花蓮縣,7,284,478,0.819,0,0.043,52,5,5.752,0,0,0,0,0,0,0,0,5.752,3.985,0.948,0.819
金門縣,53,122,921,0,0,49.76,453,94,49.76,0.953,0.416,0.326,1.356,0.227,34.1,1.583,0.787,10.012,0,0.614,49.146
連江縣,16,11,345,0,0,53.62,0,27,53.62,2.56,1.26,0.11,1.09,0.16,20.09,6.58,10.11,11.66,0,5.18,48.44
