縣市別,清理範圍(處),清理次數(次),參與人數(人次),海洋廢棄物來源(噸)_海漂,海洋廢棄物來源(噸)_海底,海洋廢棄物來源(噸)_淨灘,清理方式_雇工(人次),清理方式_機械    (輛次),清理數量分類(噸)_計,清理數量分類(噸)_寶特瓶,清理數量分類(噸)_鐵罐,清理數量分類(噸)_鋁罐,清理數量分類(噸)_玻璃瓶,清理數量分類(噸)_廢紙,清理數量分類(噸)_竹木,清理數量分類(噸)_保麗龍,清理數量分類(噸)_廢漁具漁網,清理數量分類(噸)_其他,清理後處理方式(噸)_焚化,清理後處理方式(噸)_回收再利用,清理後處理方式(噸)_其他
總　　　　計,179,869,"7,526",8.843,0.01,100.888,"3,381",431,542.233,9.154,3.112,2.479,8.582,2.343,19.639,11.233,16.079,469.613,419.719,69.532,52.982
新北市,8,37,774,1,0,1,774,32,113.966,0.485,0.17,0.12,0.375,0.015,1.12,0.173,6.62,104.888,100.801,11.665,1.5
臺北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
桃園市,11,17,"1,515",0.428,0,2.053,0,0,2.481,0.417,0.062,0.043,0.188,0.075,0.168,0.038,0.043,1.447,0.168,0.785,1.528
宜蘭縣,9,17,97,0.04,0,1.223,52,21,2.325,0.079,0.061,0.031,0.001,0.38,0.702,0.04,0.353,0.678,1.126,1.165,0.034
新竹縣,6,6,39,0,0,0.76,0,0,0.76,0.011,0.008,0.004,0.042,0,0.069,0.069,0.072,0.486,0.696,0.064,0
基隆市,2,37,352,0.13,0,0,300,62,52.77,0.05,0.11,0.07,0.02,0.24,0.08,0.01,0.02,52.17,48.67,4.1,0
新竹市,4,4,4,1.93,0,0,3,3,1.93,0.001,0,0.002,0.001,0,0,0,1.916,0.01,0.01,0.004,1.916
臺中市,2,34,300,0.03,0,0,278,140,14.041,0.03,0.03,0.04,0.02,0.03,0,0,0,13.891,11.89,2.151,0
苗栗縣,4,3,728,0,0,12.74,728,0,12.74,0.006,0.005,0.008,0.011,0.013,0.722,0.012,0.024,11.939,11.939,0.043,0.758
彰化縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南投縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
雲林縣,1,19,45,0.75,0,0,45,4,0.75,0,0,0,0,0,0,0,0,0.75,0.75,0,0
臺南市,9,112,464,0.03,0,0.25,326,20,31.543,0.083,0.094,0.091,0.516,0.11,0,0,0.069,30.58,30.494,1.049,0
高雄市,26,121,399,0.3,0,0.126,294,86,215.106,0.725,0.481,0.251,0.144,0.95,0,0.016,0.037,212.502,189.33,25.773,0.003
嘉義縣,1,1,20,0,0,0.87,0,1,0.87,0.02,0.01,0,0.2,0.04,0.4,0.03,0.006,0.164,0.6,0.27,0
屏東縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
澎湖縣,35,310,"1,464",4.185,0,40.1,141,1,45.285,5.3,0.97,1.37,5.95,0.15,2.22,3.88,4.4,21.045,19.345,19.1,6.84
嘉義市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
臺東縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
花蓮縣,2,31,288,0.02,0.01,0.09,26,7,4.82,0,0,0,0,0,0,0,0,4.82,3.9,0.92,0
金門縣,55,109,880,0,0,21.246,414,43,22.416,1.207,0.871,0.289,1.004,0.25,5.508,3.055,0.969,9.263,0,1.103,21.313
連江縣,4,11,157,0,0,20.43,0,11,20.43,0.74,0.24,0.16,0.11,0.09,8.65,3.91,1.55,4.98,0,1.34,19.09
